영화 제목,review,rating,date
히트맨2,조금 아쉬운 작품이었습니다,5,2025.01.23. 13:36
히트맨2,스포일러가 포함된 감상평입니다. 감상평보기,1,2025.01.23. 13:29
히트맨2,재밌어요 재밌어요 재밌어요,8,2025.01.23. 09:54
히트맨2,재밌어요 재밌어요 재밌어요,8,2025.01.23. 09:53
히트맨2,신파 같은 분위기랑 난잡한 느낌을 받긴 했지만 킬링 타임 영화로 좋고 아무 생각 없이 보기 좋음 ㅎㅎㅎ 범죄도시 가벼운편 같은 느낌 2편 까지는 괜찮은데 3편이 나오면 글세...?,10,2025.01.23. 15:23
히트맨2,짜임새 있는 스토리에 액션까지 탄탄하네요. 역시나 이번에도 유쾌하고 재밌어요. 천만 가즈아!,10,2025.01.22. 11:50
히트맨2,히트맨1을 보고 너무 재밋게 봐서 히트맨2를 봤는데 너무 재밋게 잘봤습니다. 웃음이 끊이지 않았고 오랜만에 가족들과 다같이 볼수있는 재밋는 영화가 나온것 같습니다. 시간되면 명절에 가족들 모이면 또 봐야겠어요~~^^,10,2025.01.22. 11:40
히트맨2,권상우의 익살스러운 연기 재밌습니다,8,2025.01.23. 01:49
히트맨2,"본가에서 떨어져 살아서 부모님과 시간 보내는게 쉽지 않은데, 간만에 가족영화가 나와서 덕분에 가족들과 좋운시간 보낼 수 있었습니다 권상우가 이렇게 웃긴사람이었는지 이제 알았네요ㅋㅋㅋㅋ이이경은 말할것도 없고 너무 재밌어요ㅋㅋ",10,2025.01.22. 11:57
히트맨2,인스타에서 이이경이 침뱉는거 보고 웃겨서 바로 보러갔는데ㅋㅋㅋㅋ 시간 금방 갔네 진짜 재밌게 봤다 간만에 편안하게 웃으면서 볼 수 있는 영화 보고 나왔음,10,2025.01.22. 11:51
히트맨2,히트맨1 안보고 봤는데 진짜 재밌게 봤네요 할머니랑 장모님이 너무 좋아하셔서 제가 다 행복했습니다 ㅎㅎ,10,2025.01.23. 09:49
히트맨2,히트맨 1 내용이 잘 기억 안 나서 영화볼 때 이해 못 하는 부분이 있으면 어쩔까 걱정했는데 그냥 그런 거 상관없이 너무 재밌게 잘 보고 나왔어요 ㅋㅋ ㅜ 친구는 1을 안 봤는데 오히려 이거 보고 1 봐야겠다 하더라구요 연초부터 큰웃음 주는 영화 보게 돼서 기분이 좋네용 가족이든 친구든 연인이든 누...,10,2025.01.22. 13:55
히트맨2,히트맨1을 너무 재밌게 봐서 2개봉한다고 하자마자봤는데 역시나 너무 재밌네요 가볍게 웃을 수 있어서 너무좋았습니다 3도 기대 해도 될까요? ㅋㅋ 시즌별로했으면 하는 바램입니다 너무 재밌어요,10,2025.01.22. 13:21
히트맨2,설날에 가족이 함께 볼 만한 영화 !이이경 정준호 연기가 찰떡이에요!,10,2025.01.22. 12:05
히트맨2,진짜 오랜만에 영화 보면서 많이 웃었어요 ㅋㅋㅋㅋ 너무 재밌는 코믹영화 개봉한 거 같아서 설 연휴때 가족들하고 다같이 보기에 딱일거 같습니다! 믿고 보는 배우들이니까 다들 꼭 보셨으면 좋겠어요 ㅎㅎㅎ,10,2025.01.22. 11:53
히트맨2,권상우 코믹은 믿고 보는 편. 히트맨1도 재밌게 봤는데 히트맨2도 역시나 재밌음ㅋㅋㅋ 액션신이 화려해서 볼 거리가 넘치고 그냥 정말 웃겨서 친구랑 배꼽잡고 웃었음.. 명절 연휴에 가족끼리 보면 딱 좋은 영화,10,2025.01.22. 11:42
히트맨2,1편보다 더 유치해져서 좀 지루해요,7,2025.01.22. 18:00
히트맨2,히트맨1도 극장가서 재밌게 봤는데.. 2 역시 진짜 재미있습니다ㅎ 킬링타임용으로 진짜 최고의 영화!! 설날에 꼭 가족들이랑 극장에서 보시길 추천합니다. 특히 믿고 보는 코믹액션 배우 권상우.. 진짜 대체불가입니다ㅋㅋ 갠적으로 히트맨3도 나왔으면 좋겠습니다ㅠ 진짜 추천추천,10,2025.01.22. 13:24
히트맨2,"ㅋㅋㅋ허구헌날 어두침침한 젠더, 국뽕영화만 나와서 짜증났는데ㅋㅋ 간만에 기분좋게 실컷 웃다나옴 ㅋㅋ",10,2025.01.22. 13:22
히트맨2,기다렸는데 드디어!!짱재밌어요,10,2025.01.22. 15:42
히트맨2,어떻게 히트쳤는지 신기한 히트맨의 속편,6,2025.01.22. 12:04
히트맨2,너무 재미있게 봤어요~!! 부담 없이 하하호호 웃으면서 볼 수 있는 영화!! 여자친구가 웃음이 없는데 엄청 웃었네요 꼭 보세요~,10,2025.01.22. 15:54
히트맨2,너무 재밌게 봤어용 ㅎ 배우님들 연기 최고 !!,10,2025.01.22. 15:45
히트맨2,어르신들 현장발매용으로 좋은 구시대적 감성을 가진 영화입니다.,6,2025.01.23. 13:56
히트맨2,1보다 별로 ㅠㅠ .. 액션만 남음,6,2025.01.23. 13:42
히트맨2,호불호는 많이 나뉠것 같긴 한데 그냥 가볍게 보기에 괜찮네요~,8,2025.01.23. 11:37
히트맨2,4점은 너무 낮은거같고 6점은 잘준거같아서 한지은 예쁘다!! 더 많이 나오지 아쉽다,5,2025.01.22. 23:04
히트맨2,가볍게 보기 좋은 팝콘무비,9,2025.01.22. 13:53
히트맨2,1편보고 재밌어서 또 보러 갑니다,10,2025.01.22. 11:38
히트맨2,킬링타임으로 괜찮은 영화ㅎ,8,2025.01.23. 01:03
히트맨2,아진짜 개웃기다고요..권상우표 개그 완전 취저ㅋ아니 호불호 많이 갈린다고 하는데 난 ㅈㅉ 개 취향이네 ㅋ 웃겨서 여운이안가심가둬놓고 권상우 코믹영화만 시키고싶음,10,2025.01.22. 13:31
히트맨2,가볍게 웃고 싶을 때 보기 좋은 영화.. 1편보다 재밌게 봄. 연출이 신선해요.ㅋㅋ,10,2025.01.22. 12:35
히트맨2,"히트맨1 보다 재밌을까? 기대 반 걱정 반 하는 마음으로 들어가서 봤는데 와우,, 오랜만에 영화 티켓 값이 아깝지 않았습니다. 특히 주연급 세명의 케미는 여전했습니다 ㅋㅋ 가족 영화로 추천추천!!",10,2025.01.22. 14:23
히트맨2,"1을 극장에서 직접 봤었는데 2가 나올 줄은 몰랐어요! 배우들이 1편에서도 합을 맞춰서 그런지 코믹 연기가 훨씬 자연스럽고 웃겼습니다ㅋㅋㅋㅋ 2도 잘되면 3, 4 이렇게 그냥 권상우 코믹 시리즈물로 계속 나왔으면 좋겠어요~",10,2025.01.22. 14:07
히트맨2,스트레스 짜악 풀리네요,10,2025.01.22. 13:52
